"","COUNTRY","NAME_1","NAME_2","MAIZ_add_t_l_ph_h_hp","SORG_add_t_l_ph_h_hp","BEAN_add_t_l_ph_h_hp","CHIC_add_t_l_ph_h_hp","LENT_add_t_l_ph_h_hp","WHEA_add_t_l_ph_h_hp","BARL_add_t_l_ph_h_hp","ACOF_add_t_l_ph_h_hp","RCOF_add_t_l_ph_h_hp","PMIL_add_t_l_ph_h_hp","SMIL_add_t_l_ph_h_hp","POTA_add_t_l_ph_h_hp","SWPO_add_t_l_ph_h_hp","CASS_add_t_l_ph_h_hp","COWP_add_t_l_ph_h_hp","PIGE_add_t_l_ph_h_hp","SOYB_add_t_l_ph_h_hp","GROU_add_t_l_ph_h_hp","SUGC_add_t_l_ph_h_hp","COTT_add_t_l_ph_h_hp","COCO_add_t_l_ph_h_hp","TEAS_add_t_l_ph_h_hp","TOBA_add_t_l_ph_h_hp","MAIZ_add_t_l_ph_l_hp","SORG_add_t_l_ph_l_hp","BEAN_add_t_l_ph_l_hp","CHIC_add_t_l_ph_l_hp","LENT_add_t_l_ph_l_hp","WHEA_add_t_l_ph_l_hp","BARL_add_t_l_ph_l_hp","ACOF_add_t_l_ph_l_hp","RCOF_add_t_l_ph_l_hp","PMIL_add_t_l_ph_l_hp","SMIL_add_t_l_ph_l_hp","POTA_add_t_l_ph_l_hp","SWPO_add_t_l_ph_l_hp","CASS_add_t_l_ph_l_hp","COWP_add_t_l_ph_l_hp","PIGE_add_t_l_ph_l_hp","SOYB_add_t_l_ph_l_hp","GROU_add_t_l_ph_l_hp","SUGC_add_t_l_ph_l_hp","COTT_add_t_l_ph_l_hp","COCO_add_t_l_ph_l_hp","TEAS_add_t_l_ph_l_hp","TOBA_add_t_l_ph_l_hp","MAIZ_add_t_h_ph_h_hp","SORG_add_t_h_ph_h_hp","BEAN_add_t_h_ph_h_hp","CHIC_add_t_h_ph_h_hp","LENT_add_t_h_ph_h_hp","WHEA_add_t_h_ph_h_hp","BARL_add_t_h_ph_h_hp","ACOF_add_t_h_ph_h_hp","RCOF_add_t_h_ph_h_hp","PMIL_add_t_h_ph_h_hp","SMIL_add_t_h_ph_h_hp","POTA_add_t_h_ph_h_hp","SWPO_add_t_h_ph_h_hp","CASS_add_t_h_ph_h_hp","COWP_add_t_h_ph_h_hp","PIGE_add_t_h_ph_h_hp","SOYB_add_t_h_ph_h_hp","GROU_add_t_h_ph_h_hp","SUGC_add_t_h_ph_h_hp","COTT_add_t_h_ph_h_hp","COCO_add_t_h_ph_h_hp","TEAS_add_t_h_ph_h_hp","TOBA_add_t_h_ph_h_hp","MAIZ_add_t_h_ph_l_hp","SORG_add_t_h_ph_l_hp","BEAN_add_t_h_ph_l_hp","CHIC_add_t_h_ph_l_hp","LENT_add_t_h_ph_l_hp","WHEA_add_t_h_ph_l_hp","BARL_add_t_h_ph_l_hp","ACOF_add_t_h_ph_l_hp","RCOF_add_t_h_ph_l_hp","PMIL_add_t_h_ph_l_hp","SMIL_add_t_h_ph_l_hp","POTA_add_t_h_ph_l_hp","SWPO_add_t_h_ph_l_hp","CASS_add_t_h_ph_l_hp","COWP_add_t_h_ph_l_hp","PIGE_add_t_h_ph_l_hp","SOYB_add_t_h_ph_l_hp","GROU_add_t_h_ph_l_hp","SUGC_add_t_h_ph_l_hp","COTT_add_t_h_ph_l_hp","COCO_add_t_h_ph_l_hp","TEAS_add_t_h_ph_l_hp","TOBA_add_t_h_ph_l_hp","total","MAIZ_add_t","SORG_add_t","BEAN_add_t","CHIC_add_t","LENT_add_t","WHEA_add_t","BARL_add_t","ACOF_add_t","RCOF_add_t","PMIL_add_t","SMIL_add_t","POTA_add_t","SWPO_add_t","CASS_add_t","COWP_add_t","PIGE_add_t","SOYB_add_t","GROU_add_t","SUGC_add_t","COTT_add_t","COCO_add_t","TEAS_add_t","TOBA_add_t","l_ph_h_hp","l_ph_l_hp","h_ph_h_hp","h_ph_l_hp","high_hp","high_hp_perc"
"3","Zambia","Central","Chitambo",4266.69073387122,48.8917179396193,0.0635887123580261,0,0,0.123901219619647,0,0,0,75.7319963585162,30.7469761939373,0,337.429668898275,28.5432292570767,0,0,48.1200506553066,523.243495576263,19.6711924873829,0,0,0,49.0037419532019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274.47531390319,26.3008441671011,0.0541874723138909,0,0,0.029272979613612,0,0,0,19.1137820492169,25.8256771108585,0,382.57639329613,4.74400479827923,0,0,57.742652543279,283.785938848862,0,0,0,0,15.722304930328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178153473495472,0,0,0,0,0,8518.6,6541.1660477744,75.1925621067204,0.117776184671917,0,0,0.153174199233259,0,0,0,94.8457784077331,56.5726533047958,0,720.006062194405,33.287234055356,0,0,105.862703198586,807.047249772474,19.6711924873829,0,0,0,64.7260468835299,5428.26029312277,0,3090.37037209917,0.0178153473495472,8518.6,100
"11","Zambia","Central","Serenje",3176.09390824648,44.9265156606599,0.0810923269987369,0,0,0.114672424555021,0,0,0,40.3101687050298,33.4352250335799,0.061749353417826,387.012106527778,12.9057482631228,0,0,55.9999594241226,647.44607286441,0,0,0,0,29.4348997993199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836.874261408238,14.10718276077,0,0,0,0,0,0,0,2.22745945780366,16.7352184151254,0.124018728530723,280.870584047512,1.36619772110929,0,0,41.6241343234828,242.339265485395,0,9.4288946017651e-05,0,0,15.5000238425902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659426363132054,0,0,0,0,0,5880.2,4012.96816965472,59.03369842143,0.0810923269987369,0,0,0.114672424555021,0,0,0,42.5376281628334,50.1704434487052,0.185768081948549,667.88269057529,14.2719459842321,0,0,97.6240937476054,890.444764712937,0,9.4288946017651e-05,0,0,44.9349236419101,4427.82211862947,0,1451.7684404795,0.659426363132054,5879.6,100
"12","Zambia","Copperbelt","Chililabombwe",2346.00058102128,3.69798532362285,0.200819827233342,0,0,0.5255321145731,0,0,0,18.6763297141574,2.01189182270405,29.2513822266073,1533.46819016358,20.660537642345,0.0912078940492655,0,8.80799133766774,766.289967978034,497.157906392521,0,0,0,1.64216215661754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.099810447009,0.428880735462258,0,0,0,0,0,0,0,1.17847550854869,0.157710201801422,3.91288443775397,225.42227081577,0.338317344520149,0,0,0.871612744084452,59.277901517743,0,0,0,0,0.117823270975071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5743.3,2569.10039146829,4.1268660590851,0.200819827233342,0,0,0.5255321145731,0,0,0,19.8548052227061,2.16960202450547,33.1642666643612,1758.89046097935,20.9988549868652,0.0912078940492655,0,9.67960408175219,825.567869495777,497.157906392521,0,0,0,1.75998542759261,5228.482485615,0,514.805687023668,0,5743.3,100
"13","Zambia","Copperbelt","Chingola",6083.69422928163,4.33338732327637,0,0,0,0,0,0,0,29.9480939001581,5.50034446566594,27.3260885151214,1083.89181849717,52.4338774914367,0,0,31.2490644115407,1011.04258937661,853.30897376557,0,0,0,0.982436622746681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.905604986795,0.201534218283429,0,0,0,0,0,0,0,5.66112921767406,0.527097546778223,1.5171946290034,96.5718619799416,5.80645832961183,0,0,1.39352798487723,153.268874991589,15.5747217734675,0,0,0,0.0982978561240613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9977.2,6596.59983426842,4.5349215415598,0,0,0,0,0,0,0,35.6092231178322,6.02744201244417,28.8432831441248,1180.46368047712,58.2403358210485,0,0,32.6425923964179,1164.3114643682,868.883695539038,0,0,0,1.08073447887074,9183.71090365092,0,793.526303514145,0,9977.2,100
"14","Zambia","Copperbelt","Kalulushi",1245.64667611941,2.76921329985338,0,0,0,0,0,0,0,3.70289455448551,0.811951148973033,3.53906065042288,180.254685844153,2.44458911868693,0,0,19.8951636017474,436.232208420872,75.8129767419667,0,0,0,0.070740898641486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.020883618723,0.520108048611903,0,0,0,0,0,0,0,0.0842676711737909,0.00818520775571985,0.0217644395244965,8.11924552448625,0.00327142516415815,0,0,3.18678254265126,27.5533444349358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136.7,1371.66755973814,3.28932134846528,0,0,0,0,0,0,0,3.7871622256593,0.820136356728753,3.56082508994738,188.373931368639,2.44786054385109,0,0,23.0819461443987,463.785552855807,75.8129767419667,0,0,0,0.070740898641486,1971.18016039922,0,165.517852913026,0,2136.7,100
"15","Zambia","Copperbelt","Kitwe",1975.46841758235,4.0280400060549,1.18466243616295,0,0,1.85062423497439,0,0,0,9.09731661442198,0.146931165812629,0.624002586100326,272.720914850858,6.93429921036453,0.0764243381410505,0,17.4170644871788,357.698099339894,2779.6546468048,0.0167780931406412,0,0,2.59283972275966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.322142025998,1.33497882586293,0,0,0,0,0,0,0,0.793417639904869,0.00422438894455811,0.0310259238648534,24.2625682909142,0,0,0,2.89796028390445,48.2396388699827,0,0,0,0,0.0770461846748059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5770.5,2238.79055960835,5.36301883191784,1.18466243616295,0,0,1.85062423497439,0,0,0,9.89073425432685,0.151155554757188,0.65502850996518,296.983483141772,6.93429921036453,0.0764243381410505,0,20.3150247710833,405.937738209877,2779.6546468048,0.0167780931406412,0,0,2.66988590743447,5429.51106147302,0,340.963002434052,0,5770.5,100
"16","Zambia","Copperbelt","Luanshya",1441.37227315539,1.88260031849902,0,0,0,0,0,0,0,2.74864349473376,0.198502373708962,0.43891745235112,166.546794713001,4.49454806924947,0,0,6.39405152303564,352.174468362127,0,0.000804136889662029,0,0,0.609368462529374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.36934171415,0.426607393875837,0,0,0,0,0,0,0,0.49333686262597,0.0207352380767196,0.228277139329676,32.2111393668518,0.191242620182948,0,0,1.06443128795301,96.47757392936,0,0,0,0,0.0359210279947862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2381.4,1714.74161486954,2.30920771237486,0,0,0,0,0,0,0,3.24198035735973,0.219237611785682,0.667194591680796,198.757934079853,4.68579068943242,0,0,7.45848281098865,448.652042291487,0,0.000804136889662029,0,0,0.645289490524161,1976.86097206152,0,404.518606580401,0,2381.4,100
"17","Zambia","Copperbelt","Lufwanyama",10804.6090880963,36.8140861772839,0,0,0,107.793982751506,8.75481898972208,0,0,3.92422298293561,4.12389107141214,56.2009583089901,1725.48810013412,41.0074675752284,0,0,338.635229326585,996.526324368863,35.5298661722922,0,0,0,0.0194580013397889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.993952914553,0.837575705252661,0,0,0,11.3270144285199,0.870324060374665,0,0,0.512267580727936,0.170556271638993,0.48171997721601,27.5057400490075,0.902003684361286,0,0,8.69698828060763,31.9802903052095,27.2039355862596,0,0,0,0.016544202808028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14478.9,11013.6030410108,37.6516618825366,0,0,0,119.120997180026,9.62514305009675,0,0,4.43649056366354,4.29444734305113,56.6826782862061,1752.99384018313,41.9094712595897,0,0,347.332217607192,1028.50661467407,62.7338017585518,0,0,0,0.036002204147817,14159.4274939566,0,319.498913046537,0,14478.9,100
"18","Zambia","Copperbelt","Masaiti",19552.5936129652,89.325459084169,2.80778984669593,0,0,23.9258536621521,2.04876268294681,0,0,22.9063775710996,13.5550347513493,138.126806440508,3108.44409026967,43.5344475025425,0.515836935501977,0,1065.92253859546,4387.17712771048,0,0.664921280431446,0,0,2.48694496223848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.10937426363,6.29935261792755,0,0,0,0,0,0,0,2.69985643249839,1.12422242691567,9.70080689874018,394.853387150324,2.44601874688431,0,0,38.2435860220255,127.270707778296,0,2.12426318574618,0,0,3.39649328626471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30641.3,21151.7029872288,95.6248117020966,2.80778984669593,0,0,23.9258536621521,2.04876268294681,0,0,25.606234003598,14.679257178265,147.827613339248,3503.29747741999,45.9804662494268,0.515836935501977,0,1104.16612461748,4514.44783548877,0,2.78918446617762,0,0,5.88343824850319,28454.0356042604,0,2187.26806880926,0,30641.3,100
"19","Zambia","Copperbelt","Mpongwe",21401.0606984725,233.6421319821,0,0,0,1854.21157088623,125.320348171327,0,0,5.02610576960408,0.516983405858407,3.07988538810241,870.02587076031,0.79224287215487,0,0,8844.08853601789,2501.06842114957,0,1.25491988082561,0,0,2.23375338572093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6883.02546630705,67.720434284575,0,0,0,3336.88469453482,171.308315017048,0,0,1.64050435787637,0.361484355388765,0.377328931864618,266.554914847923,0.255517836092639,0,0,2081.7938089583,701.599226866437,0,1.81907157838644,0,0,3.9230838066383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49359.6,28284.0861647795,301.362566266675,0,0,0,5191.09626542105,296.628663188375,0,0,6.66661012748045,0.878467761247172,3.45721431996703,1136.58078560823,1.04776070824751,0,0,10925.8823449762,3202.667648016,0,3.07399145921205,0,0,6.15683719235924,35842.3214681422,0,13517.2638516824,0,49359.6,100
"20","Zambia","Copperbelt","Mufulira",810.883187118071,1.15707010922578,0.688566052640087,0,0,0.725917733361591,0.0162669934225417,0.00148054409545731,0,2.26972733591788,0.00405677357862072,1.78028487926192,154.798272850501,6.89060265043334,0.619550811503603,0,5.15992895223786,375.098047030329,12691.3755068377,0.0360835862065489,0,0,0.20356949146361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.995832813205,0.0355709692069279,0,0,0,0,0,0,0,0.74703475608777,0,0.510705636869444,46.2949418202007,0.44266640448961,0,0,0.849611316632753,189.4118347447,1323.44491807766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15905.4,1102.87901993128,1.1926410784327,0.688566052640087,0,0,0.725917733361591,0.0162669934225417,0.00148054409545731,0,3.01676209200565,0.00405677357862072,2.29099051613136,201.093214670701,7.33326905492295,0.619550811503603,0,6.00954026887061,564.509881775029,14014.8204249153,0.0360835862065489,0,0,0.20356949146361,14051.7081197499,0,1853.73311653905,0,15905.4,100
"21","Zambia","Copperbelt","Ndola",4641.18944293682,7.58830189541258,0.420748573659097,0,0,0.350435865545556,0,0,0,5.27794236252052,2.90432000383269,3.96926784355044,742.55342966199,2.65019159643514,0.019187679389711,0,106.812121842314,898.84111285231,0,0.149231841835768,0,0,2.84544879458127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.867648937592,0.322341621888997,0,0,0,0,0,0,0,0.0184202423195896,0.262087554168668,0.240367768877014,40.1928089008152,0.00785014313992638,0,0,6.27887748188142,74.4039223000643,0,0.00635235079640052,0,0,0.0866834924079355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6797.3,4901.05709187441,7.91064351730157,0.420748573659097,0,0,0.350435865545556,0,0,0,5.29636260484011,3.16640755800136,4.20963561242745,782.746238562805,2.65804173957506,0.019187679389711,0,113.090999324196,973.245035152374,0,0.155584192632168,0,0,2.93213228698921,6415.5711837502,0,381.687360793951,0,6797.3,100
